,Unnamed: 0,image1_title,image1_label,image1_url,image2_title,image2_label,image2_url,image3_title,image3_label,image3_url
200,200,ISIC_0013783,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013783_resized.jpg?raw=true,ISIC_4665517,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4665517_resized.jpg?raw=true,ISIC_8167374,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_8167374_resized.jpg?raw=true
201,201,ISIC_0010597,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0010597_resized.jpg?raw=true,ISIC_4009870,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4009870_resized.jpg?raw=true,ISIC_5086349,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5086349_resized.jpg?raw=true
202,202,ISIC_0012713,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0012713_resized.jpg?raw=true,ISIC_3270209,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_3270209_resized.jpg?raw=true,ISIC_9571842,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_9571842_resized.jpg?raw=true
203,203,ISIC_0010597,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0010597_resized.jpg?raw=true,ISIC_0596607,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0596607_resized.jpg?raw=true,ISIC_2126176,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_2126176_resized.jpg?raw=true
204,204,ISIC_0013581,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013581_resized.jpg?raw=true,ISIC_5163976,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5163976_resized.jpg?raw=true,ISIC_3738751,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_3738751_resized.jpg?raw=true
205,205,ISIC_0010364,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0010364_resized.jpg?raw=true,ISIC_7125610,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7125610_resized.jpg?raw=true,ISIC_2071966,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_2071966_resized.jpg?raw=true
206,206,ISIC_0002975,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0002975_resized.jpg?raw=true,ISIC_5107157,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5107157_resized.jpg?raw=true,ISIC_4654808,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4654808_resized.jpg?raw=true
207,207,ISIC_0013667,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013667_resized.jpg?raw=true,ISIC_1706912,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1706912_resized.jpg?raw=true,ISIC_7489564,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7489564_resized.jpg?raw=true
208,208,ISIC_0013071,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013071_resized.jpg?raw=true,ISIC_1476176,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1476176_resized.jpg?raw=true,ISIC_7587869,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7587869_resized.jpg?raw=true
209,209,ISIC_0001119,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0001119_resized.jpg?raw=true,ISIC_2720971,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_2720971_resized.jpg?raw=true,ISIC_1508810,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1508810_resized.jpg?raw=true
210,210,ISIC_0009991,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0009991_resized.jpg?raw=true,ISIC_7936755,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7936755_resized.jpg?raw=true,ISIC_6613150,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_6613150_resized.jpg?raw=true
211,211,ISIC_0013208,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013208_resized.jpg?raw=true,ISIC_1116483,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1116483_resized.jpg?raw=true,ISIC_5826063,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5826063_resized.jpg?raw=true
212,212,ISIC_0012930,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0012930_resized.jpg?raw=true,ISIC_0430904,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0430904_resized.jpg?raw=true,ISIC_8994153,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_8994153_resized.jpg?raw=true
213,213,ISIC_0009950,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0009950_resized.jpg?raw=true,ISIC_2077116,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_2077116_resized.jpg?raw=true,ISIC_0744013,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0744013_resized.jpg?raw=true
214,214,ISIC_0012930,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0012930_resized.jpg?raw=true,ISIC_7914631,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7914631_resized.jpg?raw=true,ISIC_7604839,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7604839_resized.jpg?raw=true
215,215,ISIC_0009940,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0009940_resized.jpg?raw=true,ISIC_0833889,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0833889_resized.jpg?raw=true,ISIC_1111313,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1111313_resized.jpg?raw=true
216,216,ISIC_0013056,0.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013056_resized.jpg?raw=true,ISIC_1356715,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1356715_resized.jpg?raw=true,ISIC_7269812,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7269812_resized.jpg?raw=true
217,217,ISIC_0011099,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0011099_resized.jpg?raw=true,ISIC_5625980,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5625980_resized.jpg?raw=true,ISIC_2607827,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_2607827_resized.jpg?raw=true
218,218,ISIC_0011132,1.0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0011132_resized.jpg?raw=true,ISIC_1870415,1,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1870415_resized.jpg?raw=true,ISIC_6764717,0,https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_6764717_resized.jpg?raw=true
